
==== TOP 40 CUMTIME: jokic_elasticnet.prof ====

Sun Aug 31 14:36:48 2025    jokic_elasticnet.prof

         4320135 function calls (4276393 primitive calls) in 30.273 seconds

   Ordered by: cumulative time
   List reduced from 10494 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1592/29    0.005    0.000    2.134    0.074 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
  1505/33    0.006    0.000    2.123    0.064 <frozen importlib._bootstrap>:663(_load_unlocked)
  1304/32    0.004    0.000    2.118    0.066 <frozen importlib._bootstrap_external>:722(exec_module)
  2024/32    0.001    0.000    2.111    0.066 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        9    0.001    0.000    2.091    0.232 embiid_svr.py:64(team_def_rating_map)
        9    0.000    0.000    2.058    0.229 leaguedashteamstats.py:16(__init__)
        9    0.000    0.000    2.058    0.229 leaguedashteamstats.py:90(get_request)
      126    0.003    0.000    2.054    0.016 fixes.py:214(__call__)



==== TOP 40 CUMTIME: giannis_mlp.prof ====

Sun Aug 31 14:54:11 2025    giannis_mlp.prof

         24919430 function calls (24871716 primitive calls) in 179.831 seconds

   Ordered by: cumulative time
   List reduced from 10446 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2032/1    0.036    0.000  179.970  179.970 {built-in method builtins.exec}
        1    0.001    0.001  179.970  179.970 giannis_mlp.py:1(<module>)
        1    0.000    0.000  151.959  151.959 _search.py:759(fit)
      122    0.004    0.000  151.936    1.245 pipeline.py:363(fit)
      122    0.001    0.000  151.701    1.243 _multilayer_perceptron.py:735(fit)
      122    0.007    0.000  151.700    1.243 _multilayer_perceptron.py:376(_fit)
      122    2.510    0.021  151.531    1.242 _multilayer_perceptron.py:553(_fit_stochastic)
        1    0.000    0.000  151.311  151.311 _search.py:1390(_run_search)
        1    0.000    0.000  151.311  151.311 _search.py:825(evaluate_candidates)
        1    0.000    0.000  151.308  151.308 parallel.py:1847(__call__)
      122    0.007    0.000  151.307    1.240 parallel.py:1764(_get_sequential_output)
      120    0.003    0.000  151.043    1.259 fixes.py:214(__call__)
      120    0.005    0.000  151.035    1.259 _validation.py:525(_fit_and_score)
    63244    2.999    0.000   89.702    0.001 _multilayer_perceptron.py:240(_backprop)
   408864   43.319    0.000   44.062    0.000 extmath.py:120(safe_sparse_dot)
    26132    0.509    0.000   31.800    0.001 _multilayer_perceptron.py:706(_update_no_improvement_count)
    26132    0.405    0.000   30.914    0.001 base.py:662(score)
    63244    3.806    0.000   29.758    0.000 _multilayer_perceptron.py:118(_forward_pass)
   138310    4.326    0.000   29.510    0.000 _multilayer_perceptron.py:176(_compute_loss_grad)
    26133    2.316    0.000   18.254    0.001 _regression.py:702(r2_score)
       24   16.984    0.708   16.984    0.708 {built-in method time.sleep}
497350/494105    1.663    0.000   16.727    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    75066   16.058    0.000   16.058    0.000 _base.py:132(inplace_relu_derivative)
    63244    2.029    0.000   12.742    0.000 _stochastic_optimizers.py:29(update_params)
   254087    5.150    0.000   12.172    0.000 _methods.py:162(_mean)
    26253    0.176    0.000   12.042    0.000 _multilayer_perceptron.py:1569(predict)
    79376    2.130    0.000   11.955    0.000 validation.py:494(check_array)
        1    0.001    0.001   10.760   10.760 giannis_mlp.py:73(build_features)
    63244    1.555    0.000   10.555    0.000 _stochastic_optimizers.py:257(_get_updates)
    90344    0.548    0.000   10.305    0.000 __init__.py:307(_safe_indexing)
    26253    1.097    0.000   10.189    0.000 _multilayer_perceptron.py:143(_forward_pass_fast)
    26257    0.341    0.000    9.749    0.000 _regression.py:60(_check_reg_targets)
   138323    0.397    0.000    8.661    0.000 <__array_function__ internals>:2(mean)
    90344    1.986    0.000    8.355    0.000 __init__.py:193(_array_indexing)
   138323    0.881    0.000    7.883    0.000 fromnumeric.py:3322(mean)
   105991    6.916    0.000    6.916    0.000 _base.py:47(inplace_relu)
    26132    0.134    0.000    6.809    0.000 __init__.py:602(shuffle)
    26132    0.412    0.000    6.675    0.000 __init__.py:452(resample)
    79013    0.407    0.000    6.394    0.000 validation.py:318(check_consistent_length)
    26740    0.326    0.000    6.249    0.000 base.py:495(_validate_data)


